hh_id,onset_day,listing_day,event_day,event_type,report_domain
H00000,10,43,123,2,D12
H00001,0,31,148,1,D10
H00002,3,35,134,0,D05
H00003,10,38,102,1,D06
H00004,15,42,152,0,D11
H00005,17,41,98,2,D08
H00006,15,35,55,1,D02
H00007,7,18,97,1,D01
H00008,10,10,15,0,D03
H00009,12,13,131,2,D11
H00010,12,36,151,0,D08
H00011,10,20,80,1,D01
H00012,4,11,119,1,D06
H00013,6,40,143,1,D13
H00014,4,99,109,0,D14
H00015,12,47,89,0,D06
H00016,3,10,88,1,D16
H00017,0,22,49,0,D01
H00018,2,33,58,2,D13
H00019,4,31,130,1,D06
H00020,16,20,87,0,D02
H00021,16,52,109,0,D02
H00022,6,22,120,0,D03
H00023,12,47,157,2,D10
H00024,4,14,75,0,D02
H00025,2,17,47,1,D11
H00026,1,28,119,1,D09
H00027,8,40,144,0,D12
H00028,5,37,64,1,D08
H00029,16,30,72,2,D04
H00030,14,37,151,1,D01
H00031,6,36,155,2,D08
H00032,16,44,141,0,D03
H00033,11,32,81,2,D05
H00034,7,45,62,0,D11
H00035,18,41,136,1,D07
H00036,12,14,131,1,D08
H00037,9,29,128,1,D08
H00038,16,45,136,0,D10
H00039,5,40,134,0,D09
H00040,5,15,97,0,D07
H00041,8,47,161,1,D14
H00042,17,17,56,2,D08
H00043,10,18,56,0,D04
H00044,10,105,115,2,D08
H00045,13,51,106,1,D11
H00046,10,27,122,0,D04
H00047,2,18,56,1,D06
H00048,1,40,91,2,D16
H00049,6,37,98,1,D08
H00050,11,47,123,1,D09
H00051,13,22,78,0,D06
H00052,9,104,114,1,D14
H00053,0,37,120,2,D04
H00054,6,43,126,1,D08
H00055,2,11,83,0,D11
H00056,9,43,127,1,D11
H00057,17,42,88,1,D04
H00058,1,10,110,2,D15
H00059,14,39,48,1,D05
H00060,8,11,90,0,D01
H00061,9,29,134,0,D15
H00062,16,41,157,1,D14
H00063,4,15,66,0,D15
H00064,15,27,61,2,D11
H00065,4,26,31,0,D04
H00066,17,39,69,0,D06
H00067,3,18,70,0,D11
H00068,18,113,123,0,D14
H00069,9,43,65,0,D06
H00070,7,20,139,0,D10
H00071,2,38,145,0,D13
H00072,3,17,116,1,D11
H00073,10,13,112,2,D02
H00074,9,44,65,2,D02
H00075,0,33,114,2,D01
H00076,19,32,81,1,D13
H00077,11,40,80,1,D10
H00078,18,25,105,2,D13
H00079,3,33,67,1,D09
H00080,12,19,97,0,D02
H00081,10,28,53,0,D02
H00082,11,32,72,0,D14
H00083,13,17,26,2,D13
H00084,3,98,108,0,D14
H00085,10,36,55,0,D02
H00086,19,21,35,0,D01
H00087,18,47,69,1,D16
H00088,7,35,45,0,D09
H00089,3,12,42,0,D03
H00090,13,46,113,0,D05
H00091,5,27,47,1,D05
H00092,8,27,95,0,D12
H00093,8,23,57,0,D02
H00094,4,43,121,1,D08
H00095,18,19,131,2,D07
H00096,15,44,84,0,D10
H00097,17,46,96,1,D13
H00098,3,26,88,2,D06
H00099,15,40,50,0,D09
H00100,13,13,53,1,D13
H00101,5,27,90,0,D09
H00102,16,22,34,0,D08
H00103,8,38,70,0,D07
H00104,17,28,130,2,D10
H00105,12,26,90,0,D11
H00106,19,42,133,2,D08
H00107,18,55,168,1,D14
H00108,9,11,103,0,D04
H00109,6,101,111,0,D14
H00110,19,58,79,0,D13
H00111,2,33,123,0,D04
H00112,12,107,117,0,D13
H00113,2,10,31,2,D12
H00114,8,16,98,1,D12
H00115,8,45,87,0,D06
H00116,13,25,45,0,D01
H00117,6,38,103,0,D16
H00118,17,112,122,1,D14
H00119,1,26,93,0,D08
H00120,12,51,142,2,D13
H00121,17,17,95,2,D04
H00122,8,26,64,0,D03
H00123,2,12,23,0,D09
H00124,10,39,127,2,D07
H00125,5,39,133,0,D06
H00126,19,25,125,0,D04
H00127,13,47,84,0,D07
H00128,19,56,118,0,D04
H00129,18,31,100,0,D16
H00130,19,114,124,1,D14
H00131,5,14,111,0,D07
H00132,13,23,120,0,D02
H00133,10,19,112,2,D13
H00134,4,26,34,0,D05
H00135,4,43,76,1,D03
H00136,13,30,37,0,D13
H00137,11,106,116,2,D11
H00138,5,31,100,0,D11
H00139,3,28,115,0,D07
H00140,9,13,118,0,D03
H00141,10,19,57,0,D11
H00142,1,18,104,0,D11
H00143,16,29,96,2,D10
H00144,8,19,129,2,D04
H00145,19,48,97,0,D06
H00146,2,22,35,0,D06
H00147,8,19,28,0,D15
H00148,16,17,36,0,D10
H00149,14,19,136,0,D06
H00150,13,52,76,0,D05
H00151,2,14,42,2,D09
H00152,13,43,136,1,D10
H00153,11,43,65,2,D02
H00154,18,32,45,0,D01
H00155,16,52,100,2,D01
H00156,11,35,71,0,D02
H00157,3,32,113,0,D11
H00158,2,30,65,2,D11
H00159,0,36,105,1,D04
H00160,4,11,41,0,D12
H00161,5,36,91,0,D03
H00162,8,103,113,0,D10
H00163,14,23,56,0,D13
H00164,9,10,17,2,D06
H00165,15,38,147,0,D09
H00166,13,35,83,0,D09
H00167,6,16,66,0,D05
H00168,1,13,93,0,D07
H00169,6,101,111,0,D11
H00170,14,39,55,0,D04
H00171,14,35,46,0,D14
H00172,4,34,46,2,D02
H00173,16,43,131,0,D01
H00174,13,108,118,2,D14
H00175,7,7,63,1,D08
H00176,9,19,91,1,D13
H00177,10,23,68,1,D07
H00178,15,53,118,2,D11
H00179,8,15,38,1,D02
H00180,14,32,123,1,D04
H00181,2,2,90,0,D06
H00182,15,45,61,0,D02
H00183,8,11,103,0,D16
H00184,5,43,114,2,D07
H00185,15,53,70,0,D14
H00186,4,9,15,1,D08
H00187,0,18,48,2,D14
H00188,0,22,122,0,D06
H00189,9,26,131,1,D10
H00190,7,21,87,0,D04
H00191,13,41,46,0,D12
H00192,9,48,59,1,D14
H00193,18,37,100,2,D09
H00194,13,16,72,1,D10
H00195,1,3,90,0,D05
H00196,0,34,39,1,D03
H00197,15,110,120,1,D13
H00198,15,46,126,1,D16
H00199,7,46,144,0,D10
H00200,18,113,123,1,D01
H00201,3,5,119,1,D08
H00202,1,3,31,2,D01
H00203,19,31,38,2,D02
H00204,0,20,100,1,D04
H00205,9,39,105,0,D03
H00206,3,5,10,0,D01
H00207,18,113,123,0,D14
H00208,7,26,34,0,D03
H00209,18,32,70,1,D07
H00210,18,54,65,2,D04
H00211,4,40,104,0,D09
H00212,16,43,120,2,D13
H00213,5,32,98,2,D13
H00214,4,99,109,0,D02
H00215,5,43,135,0,D08
H00216,2,39,63,0,D03
H00217,2,39,94,1,D04
H00218,15,31,105,2,D13
H00219,17,25,130,0,D02
H00220,13,42,125,2,D12
H00221,1,35,109,0,D10
H00222,13,37,113,0,D10
H00223,6,9,119,1,D02
H00224,11,28,146,0,D12
H00225,12,23,57,1,D10
H00226,12,41,85,0,D08
H00227,4,14,25,2,D09
H00228,4,29,34,2,D01
H00229,5,100,110,0,D14
H00230,17,54,132,1,D06
H00231,5,40,102,0,D03
H00232,1,14,86,0,D01
H00233,18,44,130,2,D04
H00234,10,33,40,0,D08
H00235,10,45,148,0,D11
H00236,17,41,92,0,D02
H00237,6,41,148,0,D04
